fiscal_yr,service_id,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr
2017-2018,ISED-013,ISED-013-001,"1. Response to enquiries:
Clients are contacted by end of the next business day",1. Réponse aux demandes de renseignements : nous communiquerons avec les clients avant la fin du jour ouvrable suivant.,NA,NA,time,percentage,,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,ISED-013,ISED-013-002,2. Application Processing Time: funding decisions within 6 to 8 weeks from the dates of receiving complete proposals,2. Délai de traitement d'une demande : les décisions relatives au financement sont communiquées dans les six à huit semaines suivant la réception des propositions complètes.,NA,NA,time,percentage,,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,ISED-013,ISED-013-003,3. Claims processing: within 45 working days of receipt of comprehensive claims packages including complete progress reports from recipient companies,"3. Traitement d'une demande de réclamation des coûts : dans les 45 jours ouvrables suivant la réception des documents de réclamation des coûts complets, incluant les rapports d'étape exhaustifs des entreprises bénéficiaires.",NA,NA,time,percentage,,3,9,0.33333,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1307,ISED-014-001,"1. Response to enquiries received via email, mail, telephone, fax, 1-800 line: Clients will be contacted within 72 hours.","1. Réponse aux demandes de renseignements effectuées par courriel, courrier, téléphone, télécopieur, appel sans frais : nous communiquerons avec les clients dans les 72 heures suivant la demande.",NA,NA,time,percentage,,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1307,ISED-014-002,2. Statement of Interest (SOI) Processing Time - Streams 1-3: Our standard is to complete the review of SOIs and communicate to the client an initial decision within 12 weeks from the date of receiving a completed SOI in 95% of applications received.,2. Délai de traitement d'une déclaration d'intérêt (DI) - volets 1-3 : notre norme vise l'examen des DI et la communication au client d'une décision initiale dans les 12 semaines suivant la réception d'une DI dûment remplie en ce qui a trait à 95 % des demandes reçues.,NA,NA,time,percentage,0.95,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1307,ISED-014-003,3. Post-submission follow-up contact: Clients will be contacted within 2 working weeks after submission of a SIF Stream 1-3 Statement of Intent,3. Personne-ressource pour le suivi après la présentation de la demande : nous communiquerons avec les clients dans les deux semaines ouvrables suivant la présentation d'une déclaration d'intérêt pour les volets 1-3 du Fonds stratégique pour l'innovation (FSI).,NA,NA,time,percentage,,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1307,ISED-014-004,4. Claims processing & payment: Internal target is 30 calendar days for SIF processing. Overall standard is to make payment to client within 45 calendar days,4. Taitement des demandes de réclamation et paiement : l'objectif interne est de 30 jours civils pour le traitement lié au FSI. La norme générale est d'effectuer le paiement au client à l'intérieur d'un délai de 45 jours civils.,NA,NA,time,percentage,,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1346,ISED-015-001,Announcement of selected superclusters,Annonce des supergrappes sélectionnées,https://www.ic.gc.ca/eic/site/093.nsf/eng/00004.html#process,https://www.ic.gc.ca/eic/site/093.nsf/eng/00004.html#process,time,percentage,1,0,9,0,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1235,ISED-020-001 - OnlineISED-020-002 - Paper,"Same day/next day for online transactions, 5 business days for paper transactions",Service le même jour ou jour suivant pour les transactions en ligne et 5 jours ouvrables pour les transactions papier,http://corporationscanada.ic.gc.ca/eic/site/cd-dgc.nsf/eng/cs06726.html,http://corporationscanada.ic.gc.ca/eic/site/cd-dgc.nsf/fra/cs06726.html,time,percentage,0.9,56325,59733,0.94295,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,1237,1121,Report generated within 15 seconds,Rapport généré en 15 secondes,http://corporationscanada.ic.gc.ca/eic/site/cd-dgc.nsf/eng/cs06726.html,http://corporationscanada.ic.gc.ca/eic/site/cd-dgc.nsf/fra/cs06726.html,time,percentage,0.9,2862374,2862374,1,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,989,2100,"For scales, gas pumps, etc.: Measurement Canada will advise complainants of the results of the investigation within 15 business days of the receipt of the complaint.","Pour les balances, les pompes à essence, ect. : Mesures Canada informera les plaignants des résultats de l'enquête dans les 15 jours ouvrables suivant la réception de la plainte.",https://www.ic.gc.ca/eic/site/mc-mc.nsf/eng/lm03952.html,https://www.ic.gc.ca/eic/site/mc-mc.nsf/fra/lm03952.html,time,percentage,0.9,237,246,0.96341,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,989,2101,For electricity and gas meters: Measurement Canada will advise complainants of receipt of the complaint within five business days.,Pour les compteurs d'électricité et de gaz naturel : Mesures Canada informera les plaignants de la réception de la plainte dans les cinq jours ouvrables.,https://www.ic.gc.ca/eic/site/mc-mc.nsf/eng/lm03952.html,https://www.ic.gc.ca/eic/site/mc-mc.nsf/fra/lm03952.html,time,percentage,0.9,262,306,0.85621,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1211,ISED-023-001,"A Notice of Approval will be issued within 90 calendar days of receipt of the application with all appropriate documentation, when a device is found to be in compliance with the requirements and when testing is not required. If testing is required, then 120 calendar days are needed. A Modification Approval Letter will be issued within 30 calendar days of receipt of request. Requests for approval of measuring devices using new technology that involve the development of legislative requirements and specifications have no limit and are typically multi-year projects.","Un Avis d'approbation sera émis dans les 90 jours civils qui suivent la réception de la demande accompagnée de tous les documents appropriés, lorsque l'appareil est conforme aux exigences et qu'aucun essai n'est requis. Si l'appareil doit être soumis à des essais, le délai sera de 120 jours civils. Une Lettre d'approbation des modifications sera émise dans les 30 jours civils qui suivent la réception de la demande. Il n'y a aucune échéance pour les demandes d'approbation des appareils de mesure comportant des innovations technologiques pour lesquelles des exigences législatives et des normes devront être élaborées. Ces projets s'étalent généralement sur plusieurs années.",https://www.ic.gc.ca/eic/site/mc-mc.nsf/eng/lm03952.html,https://www.ic.gc.ca/eic/site/mc-mc.nsf/fra/lm03952.html,time,percentage,0.9,52,54,0.96296,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1218,ISED-024-001,"In the case of accreditation: review and issue a documentation review report within six weeks of receiving documentation for review; conduct an on-site audit within four weeks of confirming that the documentation conforms to requirements and being advised that the quality management system has been fully implemented; issue an audit report within four weeks of the last onsite audit day; and grant recognition within three weeks of confirming successful implementation of accepted procedures and conformance with requirements.
In the case of registration: review conformance with requirements within three weeks of receiving the applicant's request; and grant recognition within three weeks of confirming successful implementation of accepted procedures and conformance with requirements.","Dans le cas de l'accréditation : effectuer l'examen de la documentation et publier le rapport à cet effet dans les six semaines suivant la réception de la documentation; procéder à un audit sur place dans les quatre semaines suivant la confirmation que la documentation satisfait aux exigences et après la réception de l'avis annonçant la mise en œuvre complète du système de management de la qualité; émission d'un rapport d'audit dans les quatre semaines suivant la dernière journée de l'audit sur place; accorder la reconnaissance dans trois semaines suivant la confirmation de la réussite de la mise en œuvre des procédures acceptées et de la conformité aux exigences.
Dans le cas de l’enregistrement : examiner la conformité aux exigences dans les trois semaines suivant la réception de la demande d'enregistrement; accorder la reconnaissance dans les trois semaines suivant la confirmation de la réussite de la mise en œuvre des procédures acceptées et de la conformité aux exigences.",https://www.ic.gc.ca/eic/site/mc-mc.nsf/eng/lm03952.html,https://www.ic.gc.ca/eic/site/mc-mc.nsf/fra/lm03952.html,time,percentage,0.94,167,176,0.94886,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1222,ISED-025-001,The OSB will process perfected applications for annual trustee licence renewal received through the OSB's Licence Administration Application (OLAA) within 5 days. Your application processing time starts once we have received your perfected application through the OSB's Licence Administration Application (OLAA) and the prescribed payment has been received by the OSB.,Le BSF traitera dans les cinq jours ouvrables les demandes complètes de renouvellement de licence de syndic qui lui parviennent par l’entremise de l’Application pour l’administration des licences du BSF (AALB). Le temps de traitement de votre demande commence lorsque le BSF reçoit votre demande complète par l’entremise de l’Application pour l’administration des licences du BSF (AALB) ainsi que le paiement prescrit.,http://www.ic.gc.ca/eic/site/bsf-osb.nsf/eng/br01138.html,http://www.ic.gc.ca/eic/site/bsf-osb.nsf/fra/br01138.html,time,percentage,0.9,1000,1000,1,2016-2017,NA,NA,NA,NA,NA,ND,adv
2017-2018,1221,1116,The OSB responds to Phone or fax enquiries relating to bankruptcy and insolvency records search within 24h,Le BSF traitera les demande d'acces a la base de donnees de faillites et d'insolvabilite dans les 24h,https://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html#from=Insolvency,https://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html#from=Insolvency,time,percentage,1,15718,15718,1,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1291,1232,Service standards = 45 day,Normes de service = 45 jours,http://www.ic.gc.ca/eic/site/oca-bc.nsf/eng/ca02873.html,http://www.ic.gc.ca/eic/site/oca-bc.nsf/fra/ca02873.htm,time,percentage,0.95,48,48,1,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1291,1235,Acknowledge the receipt of a funding application the same day that a funding proposal is received,Accuser réception d'une demande de financement le jour même de la réception d'une proposition de financement,http://www.ic.gc.ca/eic/site/oca-bc.nsf/eng/ca02873.html,http://www.ic.gc.ca/eic/site/oca-bc.nsf/fra/ca02873.htm,time,percentage,1,48,48,1,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1315,ISED-028-001,"1- Assessments of equipment certification applications service (14 days) on a FCFS basis
2- Terminal equipment registration service (2 days)
3- Radio equipment listing service (2 days)
4- Equipment reassessments requiring testing or technical expertise services (14 days) on a FCFS basis","1- l'évaluation de demande d'homologation d'équipement (14 jours) selon la formule PAPS
2- les services d'enregistrement d'équipment terminal (2 jours)
3- Inscription d'équipement radio (2 jours)
4- la réévaluation de l'équipement nécessitant des services d'essai ou techniques (14 jours) selon la formule PAPS",http://www.ic.gc.ca/eic/site/smt-gst.nsf/eng/sf08802.html#sec5,http://www.ic.gc.ca/eic/site/smt-gst.nsf/fra/sf08802.html#sec5,time,percentage,0.9,6894,6894,1,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,1304,1268,"If you, an accredited examiner or an accredited institute submit an application for the issuance of a new Amateur Radio Operator Certificate or a new Professional Radio Operator Certificate (class GOC, ROC-MC or ROC-A), we will process it within four (4) weeks. Once processing is complete, the certificate will be mailed to the applicant.

If, however, your application is unsigned, incomplete or missing some documentation or the required photographs for the Professional Radio Operator Certificate class GOC, the standards described will not apply until all required information is received. Please also note that illegible applications will be returned.","Si vous, un examinateur accrédité ou un institut accrédité, présentez une demande de délivrance d’un nouveau certificat d’opérateur radioamateur ou d’un nouveau certificat professionnel d’opérateur radio (classe CGO, CRO-CM ou CRO-A), nous la traiterons en quatre (4) semaines. Une fois le traitement terminé, nous enverrons le certificat par courrier au demandeur.

Toutefois, si votre demande n’est pas signée, est incomplète, ou qu’elle ne contient pas toute la documentation requise, ni les photographies demandées pour le certificat professionnel d’opérateur radio de classe CGO, les normes décrites ne s’appliqueront pas, tant que tous les renseignements nécessaire n’auront pas été reçus. Veuillez noter que les demandes illisibles seront retournées.",http://www.ic.gc.ca/eic/site/smt-gst.nsf/eng/sf08802.html#sec6,http://www.ic.gc.ca/eic/site/smt-gst.nsf/fra/sf08802.html,time,percentage,0.9,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1306,1270,"Terrestrial Spectrum Licences (With an Established Fee)

Terrestrial spectrum licences that are authorized through processes such as “first-come, first-served” and “all-come, all-served” will be issued within four (4) weeks where no additional information is required. (This service standard does not apply to licences issued following a spectrum auction.) 

Once processing is complete, applicants will be invoiced for outstanding authorization fees, or an authorization will be issued if no fees are required or if required fees have been paid in advance.

Space Station Licences

Space station (i.e. satellite) licences will be processed within ninety (90) business days where no additional information is required and where no waivers of requirements are requested. ISED may request additional information from an applicant at any time. In such instances, the application will be put on hold until the information is received, and the service standard may be extended. If the information is not provided as per the Department’s instructions or within the timeframe established at the time of the request, the application may be denied. Refer to Client Procedures Circular CPC-2-6-02, Licensing of Space Stations, for detailed licensing information.

Mobile Earth Stations

Mobile earth station licences will be processed within ninety (90) business days where no additional information is required.

Fixed Earth Stations

Complete radio licence applications (including required fees) for fixed earth stations will be evaluated and a departmental response provided within seven (7) weeks. 

If the departmental response indicates that international coordination is required, additional delays can be expected. The International Telecommunication Union (ITU) currently states that administrations receiving earth station coordination requests are to provide a formal response within four (4) months; however, further analysis and subsequent delays may be encountered for specific earth station applications. It should be noted that delays due to foreign administration or other agency activities are beyond ISED's control.

Fixed Parameter Radio Stations

Complete radio licence applications for aircraft, ship, radiotelephone and mobile stations (added to existing systems or when no frequency selection is required) will be processed within three (3) weeks.

Once processing is complete, applicants will be invoiced for outstanding authorization fees, or an authorization will be issued if no fees are required or if required fees have been paid in advance.

Land Mobile Radio Stations

Complete radio licence applications for land mobile service and mobile stations (other than those indicated above) for which coordination with a foreign administration or other agency is not required will be processed within seven (7) weeks.

If, however, such applications do require coordination with a foreign administration or other agency, they will usually be processed within thirteen (13) weeks. This estimation is based upon the typical processing time provided by foreign administrations or other agencies, and actual delays for specific licence applications may vary. It should be noted that delays due to foreign administration or other agency activities are beyond ISED's control.

Once processing is complete, applicants will be invoiced for outstanding authorization fees, or an authorization will be issued if no fees are required or if required fees have been paid in advance.

Microwave Radio Stations

Complete radio licence applications for fixed microwave stations for which coordination with a foreign administration or other agency is not required will be processed within four (4) weeks.

If, however, such applications do require coordination with a foreign administration or other agency, they will usually be processed within ten (10) weeks. This estimation is based upon the typical processing time provided by foreign administrations or other agencies, and actual delays for specific licence applications may vary. It should be noted that delays due to foreign administration or other agency activities are beyond ISED's control.

Once processing is complete, applicants will be invoiced for outstanding authorization fees, or an authorization will be issued if no fees are required or if required fees have been paid in advance.

Negotiated In-service Dates

Some radio and spectrum licence applications can be very complex, involving detailed maps, multiple frequencies and numerous station sites. In other instances, applicants may request that their licences be issued on a specific future date. In these situations, it may not be possible to meet the service standards outlined in this document. Regardless, we will contact you to discuss your application and operational requirements, and make every effort to accommodate such requests. As well, a specific in-service date may be negotiated with you, and that date will become our service commitment to you.","Licences de spectre pour exploiter les services terrestres (ayant des droits établis)

Les licences de spectre du service terrestre autorisées selon soit le principe du premier arrivé, premier servi ou soit le principe du spectre à partager, offert à tous seront délivrées en quatre semaines lorsqu’aucun autre renseignement n’est requis (cette norme de service ne s’applique pas aux licences délivrées après une mise aux enchères de spectre).

Une fois le traitement terminé, les droits d’autorisation impayés seront facturés aux demandeurs, ou une autorisation sera délivrée si aucun droit n’est requis ou si les droits requis ont été payés à l’avance.

Licences de stations spatiales

Les licences de stations spatiales (satellite) seront traitées dans un délai de 90 jours ouvrables lorsqu’aucun autre renseignement n’est requis et lorsqu’on ne demande aucune dérogation aux exigences. ISDE peut demander en tout temps au requérant de fournir des renseignements supplémentaires. Dans ce cas, la demande sera mise en attente jusqu’à la réception des renseignements, et la norme de service peut être prolongée. Si les renseignements ne sont pas fournis selon les instructions du Ministère, ou dans les délais précisés au moment de la requête, la demande pourrait être rejetée. Pour obtenir de plus amples renseignements sur la délivrance de licences, veuillez consulter la Circulaire des procédures concernant les clients, CPC‑2‑6‑02, Délivrance de licence aux stations spatiales.

Stations terriennes mobiles

Les licences de stations terriennes mobiles seront traitées dans un délai de 90 jours ouvrables lorsqu’aucun autre renseignement n’est requis.

Stations terriennes fixes

Les demandes de licences radio complètes (comprenant les droits requis) applicables aux stations terrestres fixes seront évaluées, et le Ministère donnera une réponse dans les sept semaines suivant la demande.

Toutefois, si la réponse du Ministère indique qu’une coordination internationale est requise, il faudra s’attendre à un temps de traitement plus long. L'Union internationale des télécommunications (UIT) indique actuellement que les administrations recevant des demandes de coordination relatives à des stations terrestres doivent fournir une réponse officielle dans les quatre mois suivant la demande; cependant, certaines demandes de stations terrestres peuvent nécessiter des analyses supplémentaires, ce qui prolongera davantage le délai de traitement. Il convient également de noter que les retards attribuables à des administrations étrangères ou à d'autres organismes sont indépendants de la volonté d'ISDE.

Stations radio à paramètres fixes

Les demandes de licence radio dûment remplies pour aéronefs, navires, radiotéléphones et stations mobiles (ajoutées aux systèmes actuels ou sans sélection de fréquences) seront traitées en trois semaines.

Une fois le traitement terminé, les droits d’autorisation impayés seront facturés aux demandeurs, ou une autorisation sera délivrée si aucun droit n’est requis ou si les droits requis ont été payés à l’avance.

Stations radio mobiles terrestres

Les demandes de licence radio dûment remplies pour exploiter le service mobile terrestre et les stations mobiles (autres que celles indiquées ci‑dessus) et pour lesquelles la coordination avec une administration étrangère ou un autre organisme n'est pas nécessaire seront traitées en sept semaines.

Toutefois, si ces demandes nécessitent une coordination avec une administration étrangère ou un autre organisme, elles seront normalement traitées en treize semaines. Cette estimation repose sur le temps de traitement habituel établi par les administrations étrangères ou d'autres organismes, et les temps de traitement réels peuvent varier selon le type de licence. Il convient également de noter que les retards attribuables aux activités d'administrations étrangères ou d'autres organismes sont indépendants de la volonté d'ISDE.

Une fois le traitement terminé, les droits d’autorisation impayés seront facturés aux demandeurs, ou une autorisation sera délivrée si aucun droit n’est requis ou si les droits requis ont été payés à l’avance.

Stations radio micro-ondes

Les demandes de licence radio dûment remplies pour exploiter les stations micro‑ondes fixes, dont la coordination avec une administration étrangère ou un autre organisme n’est pas nécessaire, seront traitées en quatre semaines.

Toutefois, si ces demandes nécessitent une coordination avec une administration étrangère ou un autre organisme, elles seront normalement traitées en dix semaines. Cette estimation repose sur le temps de traitement habituel établi par les administrations étrangères ou d'autres organismes, et les temps de traitement réels peuvent varier selon le type de licence. Il convient également de noter que les retards attribuables aux activités d'administrations étrangères ou d'autres organismes sont indépendants de la volonté d'ISDE.

Une fois le traitement terminé, les droits d’autorisation impayés seront facturés aux demandeurs, ou une autorisation sera délivrée si aucun droit n’est requis ou si les droits requis ont été payés à l’avance.",http://www.ic.gc.ca/eic/site/smt-gst.nsf/eng/sf08802.html#sec5,http://www.ic.gc.ca/eic/site/smt-gst.nsf/fra/sf08802.html,time,percentage,0.9,0,0,ND,2016-2017,NA,NA,NA,NA,NA,NA,NA
2017-2018,1338,1339,acknowledge receipt of an application within three (3) working days;,d'accuser réception d'un formulaire de demande de financement dans un délai de trois (3) jours ouvrables;,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/fn04333.html,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/fra/fn04333.html,time,percentage,0.9,190,190,1,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,1338,1340,provide a decision on applications within eighty (80) working days of receipt of a fully completed application.,de communiquer la décision de financement dans un délai de quatre-vingts (80) jours ouvrables suivant la réception d'une demande dûment remplie.,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/fn04333.html,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/fra/fn04333.html,time,percentage,0.9,89,110,0.80909,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,ISED-033,ISED-033-001,acknowledge receipt of an application within three (3) working days;,d'accuser réception d'un formulaire de demande de financement dans un délai de trois (3) jours ouvrables;,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/fn04394.html,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/fra/fn04394.html,time,percentage,0.9,0,0,ND,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,ISED-033,ISED-033-002,provide a decision on applications within eighty (80) working days of receipt of a fully completed application.,de communiquer la décision de financement dans un délai de quatre-vingts (80) jours ouvrables suivant la réception d'une demande dûment remplie.,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/fn04394.html,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/fra/fn04394.html,time,percentage,0.9,18,78,0.23077,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,1345,1348,acknowledge receipt of an application within three (3) working days;,d'accuser réception d'un formulaire de demande de financement dans un délai de trois (3) jours ouvrables;,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/fn04126.html,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/fra/fn04126.html,time,percentage,0.9,7,7,1,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,1345,1349,provide a decision on applications within eighty (80) working days of receipt of a fully completed application.,de communiquer la décision de financement dans un délai de quatre-vingts (80) jours ouvrables suivant la réception d'une demande dûment remplie.,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/fn04126.html,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/fra/fn04126.html,time,percentage,0.9,5,6,0.83333,2016-2017,NA,NA,NA,NA,NA,ND,ND
2017-2018,13,764,Deliver seminars and InfoLine services with a quality level that meets clients' expectations.,Fournir des séminaires et les services LigneInfo avec un niveau de qualité répondant aux attentes des clients.,NA,NA,oth,percentage,0.8,502,540,0.92963,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,843,532,GCdocs acknowledges receipt of client inquiries within one business day.,Gcdocs - Accuser réception des demandes de renseignements des clients dans un délai d’un (1) jour ouvrable.,NA,NA,oth,percentage,0.8,0,0,ND,2013-2014,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,752,Acknowledge receipt of client requisitions sent electronically (e.g. by email) within 1 business day.,Accuser réception des demandes de clients envoyées par voie électronique (p. ex. par courriel) dans un délai de 1 jour ouvrable.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,"acces,time",percentage,0.95,7234,7242,0.9989,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,753,Acknowledge receipt of client requisitions sent by fax or mail within 2 business days.,Accuser réception des demandes de clients envoyées par télécopieur ou par la poste dans un délai de 2 jours ouvrables.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,"acces,time",percentage,0.95,961,965,0.99585,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,755,Provide 24/7 access to emergency procurement on a priority basis using timelines established with the client department.,"Fournir un accès en tout temps, 24 heures sur 24, 7 jours sur 7, à des services d’approvisionnement d’urgence, selon la priorité et les délais fixés avec le ministère ou l’organisme client.",https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,acces,percentage,1,0,0,ND,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,761,Acknowledge clients' inquiries within 1 business day.,Accuser réception des demandes de renseignements des clients dans un délai de 1 jour ouvrable.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,"acces,time",percentage,0.95,0,0,ND,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,762,Respond to clients' inquiries within 3 business days.,Répondre aux demandes de renseignements des clients dans un délai de 3 jours ouvrables.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,"acces,time",percentage,0.95,0,0,ND,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,843,533,"GCdocs addresses client inquiries, providing advice and guidance, within five business days.",GCdocs – Répondre aux demandes de renseignements des clients et leur fournir des conseils et des directives dans un délai de cinq (5) jours ouvrables .,NA,NA,oth,percentage,0.8,0,0,ND,2013-2014,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,754,Provide clients with their procurement officer's name and contact information within 5 business days of allocation or requisition.,Transmettre aux clients le nom et les coordonnées de leur agent des achats dans un délai de 5 jours ouvrables suivant l’assignation d’une demande.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,"acces,time",percentage,0.8,5110,8129,0.62861,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,758,Deliver services with a quality level that meets clients' expectations.,Fournir des services avec un niveau de qualité répondant aux attentes des clients.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,oth,percentage,0.8,410,485,0.84536,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,759,Deliver services with accuracy that meets clients' expectations.,Fournir des services avec un niveau de précision répondant aux attentes des clients.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,accur,percentage,0.8,422,485,0.8701,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,760,Deliver services that are highly valued by clients.,Fournir des services hautement valorisés par les clients.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,oth,percentage,0.8,335,485,0.69072,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,756,"Basic procurement contracts, within 80 business days.",Contrats de complexité élémentaire : dans un délai de 80 jours ouvrables.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,time,percentage,0.8,2300,2799,0.82172,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,757,"Standard procurement contracts, within 100 business days.",Contrats de complexité standard : dans un délai de 100 jours ouvrables.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,time,percentage,0.8,1057,1424,0.74228,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,10,7,High complex procurement contracts within 100 working days from original Request for proposal (RFP) solicitation date.,Contrats de grande complexité : dans un délai de 100 jours ouvrables de la date de publication de la demande de soumissions originale jusqu’à la date d’attribution du contrat.,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/2017-2018/page-3-fra.html,time,percentage,0.8,27,33,0.81818,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,13,763,Respond to InfoLine inquiries within 24 hours.,Répondre aux demandes de renseignements reçues par l'entremise de LigneInfo dans un délai de 24 heures.,NA,NA,"acces,time",percentage,0.95,11099,11433,0.97079,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,1144,3,"Percentage of pay transactions processed by Pay Pods within service standards (VAC, SEDC and FEDASO) - pilot put place in December 2017.","Pourcentage de mouvements de paye traités par les équipes mixtes de paie conformément aux normes de service (ACC, SDEC et AFDESO) - projet pilot mis en place décembre 2017.",NA,NA,"acces,accur,time",percentage,0.95,0,0,ND,2013-2014,NA,NA,NA,NA,NA,NA,NA
