fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,ident_platform,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,calls_received,web_visits_info_service,online_applications,telephone_applications,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2019-2020,748,Feedback Mechanism,Mécanisme de rétroaction,Canada Border Services Agency,Agence des services frontaliers du Canada,extern,reg,prior,"Clients are able to submit complaints, comments or compliments.","Les clients peuvent soumettre leurs plaintes,  commentaires ou compliments.",https://www.cbsa-asfc.gc.ca/contact/com-eng.html,https://www.cbsa-asfc.gc.ca/contact/com-fra.html,Recourse,Recours,,,person,N,N,NA,NA,"onl,oth,post",ND,ND,4043,ND,ND,94,457,NA,N,Y,N,NA,N,onl,"We do not take telephone inquiries or applications (complaints). The client has to submit his or her formal complaint in writing by mail, email or through the CBSA online input form and this is not an information based service. Also, excluding complaints received by Web or Mail, there is no way for us to know what channel these fall under. Therefore, any complaints that was not received by Web or Mail, was counted  in the Other category. (e.i. Complaints received directly in the Regions, throught Contact US, at the President's Office, Complaint included in a Appeal, etc.)","Nous n'acceptons pas les demandes d'informations ou requêtes (plaintes) par téléphone. Le client doit soumettre sa plainte officielle par ecrit par la poste, par courriel ou au moyen du formulaire de saisie en ligne sur le site web de l'ASFC. Aussi, il ne s'agit pas d'un service basé sur l'information. De plus, excluant les plaintes reçu en ligne ou par courrier, il est impossible pour nous de savoir de quel canal ils relèvent. Par conséquent, toutes les plaintes qui n'ont pas été reçu en ligne ou par courrier ont été comptabilisées dans la catégorie Autre. (par exemple, les plaintes reçu directement dans les Régions, via Contact US, au bureau du président, plainte incluse dans un appel, etc.)"
2019-2020,749,Enforcement Appeals,Appels des mesures d'exécution,Canada Border Services Agency,Agence des services frontaliers du Canada,extern,reg,prior,Providing  travellers or commercial entities with a ministerial decision with respect to a review of an enforcement action issued and/or a trusted traveller membership decision.,Fournir aux voyageurs et entités commerciales une décision ministérielle suite à la révision d’une mesure d’exécution et/ou d’adhésion à un programme pour les voyageurs fiables.,https://www.cbsa-asfc.gc.ca/recourse-recours/menu-eng.html,https://www.cbsa-asfc.gc.ca/recourse-recours/menu-fra.html,Recourse,Recours,,,econom,N,N,N,NA,"onl,oth,post",ND,ND,1874,ND,ND,1273,0,NA,N,Y,N,NA,N,onl,"We do not take telephone inquiries or applications. The client has to formerly appeal in writing by mail or online appeal and this is not an information based service.  Also, We can't differentiate between fax and mail. Therefore, the faxes are counted in the mail category.","Nous n'acceptons pas les demandes d'information ou requête par téléphone. Le client doit faire appel par ecrit par courrier ou en ligne et il ne s'agit pas d'un service basé sur l'information. De plus, nous ne pouvons pas faire la différence entre les télécopies et le courrier. Par conséquent, les télécopies sont comptées dans la même catégorie que le courrier."
2019-2020,755,Electronic Data Interchange (EDI) – Application and Testing Process,Échange de données informatisé (EDI) – Processus de demande et d’essai,Canada Border Services Agency,Agence des services frontaliers du Canada,extern,"reg,reg_vol",prior,"This service provides businesses with the ability and authorization to electronically exchange commercial information with the CBSA's host system using Electronic Data Interchange (EDI), either through the Customs Internet Gateway (CIG) or a Direct Connect (MQ Messaging). For those clients who do not wish to transmit electronic commerce data directly to the CBSA, there exist many third party service providers who currently transmit data to the CBSA on behalf of trade chain partners. Businesses and their service providers who choose to use one of the EDI options to transmit electronic commerce data must apply to the CBSA.","Ce service offre aux entreprises la capacité et l'autorisation d'échanger de l'information de façon électronique au système hôte de l'ASFC en utilisant l’échange de données informatisées (EDI), soit par la Passerelle Internet des douanes (PID) ou une Communication directe avec l'ASFC (Messagerie MQ). Pour les clients qui ne désirent pas transmettre des données directement à l’ASFC, il existe de nombreux tiers prestataires de services qui transmettent des données à l’ASFC de la part de divers partenaires de la chaîne commerciale. Les entreprises et leurs fournisseurs de services qui choisissent d'utiliser une des options de l'EDI pour transmettre les données du commerce électronique à l'ASFC doivent en faire la demande à celle-ci.",https://www.cbsa-asfc.gc.ca/eservices/procedure-eng.html,https://www.cbsa-asfc.gc.ca/eservices/procedure-fra.html,Commercial-Trade Facilitation and Compliance,Facilitation et conformité des opérations commerciales et des échanges commerciaux,,,econom,N,N,N,NA,"oth,post",ND,ND,ND,ND,ND,2,4220,NA,N,N,Y,NA,Y,onl,"Applications received by email, mail and fax.","Demandes reçues par courriel, courrier et télécopie."
2019-2020,1548,International Events and Convention Services Program (IECSP),Programme des services aux événements internationaux et aux congrès (PSEIC),Canada Border Services Agency,Agence des services frontaliers du Canada,extern,adv,non,"The International Events and Convention Services Program (IECSP) aims to provide facilitation to the Meetings, Conventions & Incentive Travel (MC&IT) industry through it’s recognition process as well as educational and logistical support throughout the life cycle of an event. For more information, please see Memorandum D8-1-2, International Events and Convention Services Program (IECSP) and International Events in Canada.","Le Programme des services aux événements internationaux et aux congrès (PSEIC) vise à fournir une facilitation à l’industrie des Réunions, Conventions et Voyages Incitatifs ( RC&VI) à travers de son processus de reconnaissance ainsi qu’au support éducationnel et logistique pendant le cycle de vie d’un événement. Pour plus d’informations, veuillez-vous référer au Mémorandum D8-1-2, Programme des services aux événements internationaux et aux congrès (PSEIC) et Évènements internationaux au Canada.",https://www.cbsa-asfc.gc.ca/services/ie-ei/menu-eng.html,https://www.cbsa-asfc.gc.ca/services/ie-ei/menu-fra.html,Traveller Facilitation and Compliance,Facilitation de la circulation et conformité des voyageurs,,,econom,N,N,Y,NA,"oth,tel",ND,ND,ND,210,ND,ND,873,NA,N,Y,NA,NA,Y,onl,Applications received by telephone and email.,Demandes reçues par téléphone et courriel.
2019-2020,670,Air Traveller Processing,Traitement primaire des voyageurs - mode aérien,Canada Border Services Agency,Agence des services frontaliers du Canada,extern,reg,"essent,prior",The CBSA receives and processes travellers entering at Canadian POEs via air mode.,Traitement primaire des voyageurs dans le mode aérien.,https://www.cbsa-asfc.gc.ca/menu-eng.html,https://www.cbsa-asfc.gc.ca/menu-fra.html,Traveller Facilitation and Compliance,Facilitation de la circulation et conformité des voyageurs,2016-2017,,person,N,N,NA,N,"person,tel",ND,ND,ND,212628,35180883,ND,ND,NA,NA,NA,NA,NA,NA,"eml,onl",Travellers processed in-person or by telephone.,Voyageurs traités en personne ou par téléphone.
2019-2020,10,Procurement and Contracting,Approvisionnement et passation de contrats,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,enterprise,acq,prior,"The role of PSPC in this area is to manage contracts for goods, services and construction on behalf of client departments and agencies of the Government of Canada and includes the management of contractual activities such as planning, acquisitions and contract administration. Buy and Sell Division (Government of Canada Tendering Service)","Le rôle de SPAC dans ce domaine est d'administrer les contrats de biens, de services et de services de construction, au nom des ministères et organismes clients du gouvernement du Canada. En outre, le Ministère gère des activités contractuelles comme la planification, l'acquisition et la gestion des biens et services. Division Achats et ventes (Service d’appel d’offres du gouvernement du Canada)",https://buyandsell.gc.ca/for-government,https://achatsetventes.gc.ca/pour-le-gouvernement,Procurement Services,Services d'approvisionnement,,oth,intern_gov,N,N,NA,N,"eml,onl,person,post",ND,ND,0,ND,25,0,6643,N,N,N,N,N,N,"eml,onl,person,tel","The Acquisitions Program does not have a centralized system to receive and monitor telephone inquiries.  Rather, client departments can call subject matter experts, internal management, account managers, or numerous other individuals directly to receive telephone responses to their inquiries. However, this service is not offered via telephone, and is not an information-based service.

The Acquisitions Program does not accept online applications at this time.","Le programme d'approvisionnement ne dispose pas d'un système centralisé pour recevoir et surveiller les demandes de renseignements par téléphone. Les ministères clients peuvent plutôt appeler directement des experts en la matière, la gestion interne, des directeurs de comptes ou de nombreuses autres personnes pour recevoir des réponses par téléphone à leurs demandes de renseignements. Cependant, ce service n'est pas offert par téléphone, et n'est pas un service d'information.

Le programme des acquisitions n'accepte pas les demandes en ligne pour le moment."
2019-2020,13,Information and Education Services to Businesses,Services d'information et de formation aux entreprises,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,extern,adv,non,"The Office of Small and Medium Enterprises (OSME) assists small and medium enterprises (SMEs) in better understanding how the government buys goods and services by raising awareness of opportunities and by providing the following information services:
• Buyandsell.gc.ca, which provides access to federal procurement information and open data including bid opportunities (tenders), standing offers and supply arrangements, and contract history;
• free seminars and one-on-one sessions to assist suppliers in understanding federal procurement;
• participation in industry and business association events;
• a 1-800 InfoLine for suppliers who have questions about the procurement process and related tools.","Le Bureau des petites et moyennes entreprises (BPME) de SPAC aide les PME à mieux comprendre le processus d'achat de biens et de services du gouvernement en faisant connaître les occasions de marchés et en fournissant les services d'information suivants :  
• Achatsetventes.gc.ca qui permet d'accéder à l'information sur les achats fédéraux, aux données ouvertes, notamment les occasions d'affaires (appels d'offres), les offres à commandes et les arrangements en matière d'approvisionnement, et aux contrats octroyés; 
• des séminaires gratuits et des séances individuelles pour aider les fournisseurs à comprendre le processus d'approvisionnement du gouvernement fédéral;  
• la participation aux événements des associations industrielles et des fo+I20urnisseurs; ligne • info 1-800 pour les fournisseurs qui ont des questions au sujet du processus d'approvisionnement et des outils connexes.","https://buyandsell.gc.ca/event-calendar,https://canada.ca/OSME","https://achatsetventes.gc.ca/calendrier-des-evenements,https://canada.ca/BPME",Procurement Leadership,Leadership en matière d'approvisionnement,,,econom,Y,N,NA,NA,"eml,onl,person,tel",6295,2652372,138,0,41000,ND,6912,Y,NA,Y,NA,Y,Y,"eml,onl,person,tel",The service is not offered by mail or telephone.,Le service n'est pas offert par courrier ou par téléphone.
2019-2020,844,Customer Relationship Management - GCcase,Gestion des relations avec la clientèle - GCcas,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,enterprise,im,"essent,prior","GCcase provides hosted application and related expert and support services for case and business process management solutions to departments and agencies across the Government of Canada. GCcase enables an organization or person to automate, manage, track and control activities, tasks and workflow processes. The service model includes providing application management services, including hosting services on a single, common Government of Canada instance.","GCcas fournit des applications hébergées, ainsi que des services d’expert et de soutien connexes pour des solutions de gestion de cas et de processus d’affaires aux ministères et organismes du gouvernement du Canada. GCcase permet à une organisation ou à une personne d'automatiser, de gérer, de suivre et de contrôler des activités, des tâches et des processus de flux de travail. Le modèle de service comprend la fourniture de services de gestion d'applications, y compris des services d'hébergement sur une seule instance commune du gouvernement du Canada.",http://gcintranet.tpsgc-pwgsc.gc.ca/sgcp-scms/index-eng.html,http://gcintranet.tpsgc-pwgsc.gc.ca/sgcp-scms/index-fra.html,Information Management Services,Services de gestion de l'information,,in_auth,intern_gov,Y,Y,NA,NA,onl,0,0,0,ND,ND,ND,ND,N,N,N,N,N,N,"eml,onl,person,tel","GCcase is not offered like traditional GC to citizen services so these channels do not apply. The GCcase Program holds regular community engagement sessions where clients have direct access to program experts, and can provide feedback on level of satisfaction with the service. In addition, GCcase provides a mechanism for both existing and potential clients to contact them by email via their GCpedia page (https://www.gcpedia.gc.ca/wiki/GCcase/Contact).  There is no application process for GCcase.  If OGDs are interested in using the service, they will go through an engagement and onboarding process that is initiated.","GCcas n'est pas offert comme le GC traditionnel aux services aux citoyens, donc ces modes ne s'appliquent pas. Le programme GCcas organise régulièrement des séances de mobilisation communautaire où les clients ont un accès direct aux experts du programme et peuvent fournir des commentaires sur le niveau de satisfaction à l'égard du service. De plus, GCcas fournit un mécanisme permettant aux clients existants et potentiels de les contacter par courriel via leur page GCpedia (https://www.gcpedia.gc.ca/wiki/GCcase/Contact). Il n'y a pas de processus de demande pour GCcas. Si les autres ministères souhaitent utiliser le service, ils passeront par un processus d'engagement et d'intégration qui est lancé."
2019-2020,908,GCSurplus,GCSurplus,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"extern,enterprise",mat,non,"GCSurplus of Public Services and Procurement Canada is the organization responsible for providing asset disposal services to support mandated federal government departments and agencies to responsibly manage the divestment of surplus moveable assets in a manner that is fair, open and transparent, and provides the best value to the Crown.","GCSurplus de Services publics et Approvisionnement Canada est l’agence qui fournit les services de disposition des biens afin de soutenir les départements et organismes du gouvernement fédéral dans leur gestion et leur disposition des biens excédentaires mobiles, et ce, dans l’équité, l’ouverture et la transparence, tout en obtenant la meilleure valeur possible pour la Couronne.","https://www.gcsurplus.ca/mn-eng.cfm,https://www.gcsurplus.ca/ic-ci/home","https://www.gcsurplus.ca/mn-fra.cfm,https://www.gcsurplus.ca/ic-ci/accueil",Asset Disposal,Aliénation des biens,,,"intern_gov,person",N,N,NA,NA,onl,0,1619116,37110,ND,ND,ND,ND,Y,Y,Y,Y,Y,Y,"eml,onl,person,tel","All client applications/registrations are completed online. 

In person application is not possible.","Toutes les inscriptions des clients sont complétées en ligne.

En personne demande n’est pas possible."
2019-2020,914,Reference Services for Publications,Services de référence pour les publications,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"extern,enterprise",comm,non,Provide answers to questions from the general public on how to find publications published by the Federal Government. Provide assistance to federal departments requesting assistance applying for ISBN numbers and locating information.,La Direction des Éditions et Services de dépôt (DÉSD) fournit des services de référence pour aider les citoyens à trouver des publications du gouvernement du Canada.,http://publications.gc.ca/site/eng/home.html,http://publications.gc.ca/site/fra/accueil.html,Communications Services,Services de communication,,,"econom,intern_gov,person",Y,N,NA,NA,"onl,oth,person,post,tel",516,2810938,3087,0,0,0,0,NA,NA,NA,NA,NA,N,"eml,onl,tel","Clients can request to publish on our website in 2 ways:
1. Email
2. Mail (numbers are not significant enough to track)","Clients can request to publish on our website in 2 ways:
1. Email
2. Mail (numbers are not significant enough to track)"
2019-2020,970,Payments in Lieu of Taxes,Paiement en remplacement d'impôts,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"extern,enterprise",prop,non,Public Services and Procurement Canada (PSPC) on behalf of the Government of Canada makes discretionary payments in lieu of taxes (PILT) to municipalities and provincial governments to pay its fair share in costs to local governments for federal properties located in their jurisdiction. PSPC also makes presentations before the Dispute Advisory Panel when the taxing authority in disagreement with the PILT payment they received.,"Services publics et Approvisionnement Canada (SPAC) verse, à titre discrétionnaire, au nom du gouvernement du Canada, des paiements en remplacement d’impôts (PERI) à l’intention des municipalités et des gouvernements provinciaux afin de faire sa juste part en contribuant aux coûts engagés par les administrations municipales pour les biens fédéraux situés sur leur territoire. De plus, SPAC présente des exposés au Comité consultatif sur le règlement des différends associés aux PERI lorsque des autorités taxatrices sont en désaccord avec le PERI qui leur a été versé.",https://www.tpsgc-pwgsc.gc.ca/biens-property/peri-pilt/index-eng.html,https://www.tpsgc-pwgsc.gc.ca/biens-property/peri-pilt/index-fra.html,Payments Instead of Property Taxes to Local Governments,Paiements en remplacement d'impôts aux administrations locales,,signin_authenti,"intern_gov,PTC",N,N,NA,NA,"onl,post",0,ND,650,ND,ND,1150,ND,Y,Y,Y,Y,Y,NA,"eml,onl,person,tel","The PILT Program doesn't received applications by telephone or in person. Approximately 650 of the 1,800 annual applications are received by the Program on-line and the other 1,150 are received by mail, email or fax.  The limited # of applications that are received by email and fax are not tracked.","Le programme PILT ne reçoit aucune demande par téléphone ou en personne. Environ 650 des 1 800 demandes annuelles sont reçues au moyen du programme en ligne et les 1 150 autres demandes arrivent par courrier, par courriel ou par télécopieur. Il n'y a pas de suivi quand au nombre de demandes reçues par courriel et par télécopieur."
2019-2020,941,Fairness Monitoring Services,Surveillance de l'équité,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,enterprise,adv,non,"The Fairness Monitoring (FM) Program provides management, client departments, government suppliers, Parliament and Canadians with independent assurance that departmental procurement activities are conducted in a fair, open and transparent manner.","Le Programme de surveillance de l'équité offre à la haute gestion, aux ministères clients, aux fournisseurs gouvernementaux, au Parlement et aux Canadiens une assurance indépendante que les activités sont menées de manière juste, ouverte et transparente.",https://masource-mysource.spac-pspc.gc.ca/eng/services/dgs-dob/se-fm/Pages/cse-cfm.aspx,https://masource-mysource.spac-pspc.gc.ca/fra/services/dgs-dob/se-fm/Pages/cse-cfm.aspx,Security and Oversight Services,Services de sécurité et de surveillance,,,intern_gov,N,N,NA,N,"onl,oth,post",0,1246,0,ND,ND,0,32,N,N,N,N,N,N,"eml,onl,person,tel",The program has a generic mailbox which is the primary point of contact for receipt of incoming fairness monitoring request forms. The incoming volumes has not warranted the development of online tools to allow for forms to be completed and submitted through the approval channels online.,Le programme a une adresse de courriel générique qui est le principal point de contact pour la réception des formulaires de demande de surveillance de l'équité. Les volumes reçus n'ont pas justifié l'élaboration d'outils en ligne permettant de remplir et de soumettre les formulaires par les voies d'approbation en ligne.
2019-2020,942,Business Dispute Management Services,Gestion des conflits d'ordre commercial,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"extern,enterprise",adv,non,"The Business Dispute Management (BDM) program is a neutral and confidential resource for contractors, other government departments, and Crown employees when they experience procurement or contracting challenges where PSPC is the contracting authority.","Le programme de Gestion des conflits d'ordre commercial est une ressource neutre et confidentielle pour les entrepreneurs, les autres ministères et les employés de la Couronne lorsqu'ils rencontrent des défis avec un contrat dans lequel SPAC est l'autorité contractuelle.",https://www.tpsgc-pwgsc.gc.ca/gcc-bdm/communiquez-contact-eng.html,https://www.tpsgc-pwgsc.gc.ca/gcc-bdm/communiquez-contact-fra.html,Security and Oversight Services,Services de sécurité et de surveillance,,,"econom,intern_gov",N,N,N,N,"onl,oth",0,563,0,ND,ND,ND,100,N,N,N,N,N,N,"eml,onl,person,tel","Although no service standard exists, BDM monitors the percentage of responses to initial client requests within 2 business days; and the percentage of clients satisfied with services provided. The program has a generic email address which is the primary point of contact to request services.","Bien qu’il n’existe aucune norme de service, GCC fait un suivi du pourcentage de réponses aux demandes initiales des clients dans un délai de deux jours ouvrables; et le pourcentage de clients satisfaits des services fournis. Le programme a une adresse de courriel générique qui est le principal point de contact pour demander des services."
2019-2020,906,Seized Property Management,Gestion des biens saisis,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"extern,enterprise",mat,non,"The Seized Property Management Directorate (SPMD) of Public Services and Procurement Canada (PSPC) manages assets, seized or restrained under specific sections of the Criminal Code, the Controlled Drugs and Substances Act, the Proceeds of Crime (Money-Laundering) and Terrorist Financing Act and the Cannabis Act. SPMD assists other Federal Agencies, Departments, Crown Corporations as well as Provinces and Territories by providing seized property management, storage services, disposal services and cryptocurrency management for actions under their respective Act(s) and Legislation(s). In addition, we offer case management, data gathering and reporting services to key partners.","La Direction de la gestion des biens saisis (DGBS) de Services publics et Approvisionnement Canada (SPAC) gère les biens saisis ou confisqués en vertu d’articles précis du Code criminel, de la Loi réglementant certaines drogues et autres substances, de la Loi sur le recyclage des produits de la criminalité et le financement des activités terroristes et de la Loi sur le cannabis. La DGBS aide d'autres organismes fédéraux, ministères, sociétés d'État ainsi que les provinces et les territoires en fournissant des services de gestion et d'entreposage des biens saisis, des services de d'aliénation et des services de gestion de la cryptomonnaie en vertu de leurs lois et législations respectives. De plus, nous offrons des services de gestion de cas, de collecte de données et de production de rapports à nos partenaires clés.",https://www.tpsgc-pwgsc.gc.ca/app-acq/gbs-spm/index-eng.html,https://www.tpsgc-pwgsc.gc.ca/app-acq/gbs-spm/index-fra.html,Asset Disposal,Aliénation des biens,,,"intern_gov,person,PTC",N,N,NA,N,"eml,onl,oth,person,tel",0,0,0,0,0,ND,5381,NA,NA,NA,NA,NA,NA,"eml,onl,person,tel","SPMD's web page provides generic information about the program, there's no use for the number of visits therefore we don't collect this data.

All the forms are online. Online application is not possible.

In person application is not possible.

The number of application received by mail is not significant.","La page Web de la DGBS fournit des informations génériques sur le programme. Le nombre de visites n'est pas utile pour nous. Par conséquent, nous ne recueillons pas ces données.

Les formulaires sont disponible en ligne. L'application en ligne n'est pas possible.

L'application en personne n'est pas possible.

Le nombre d'applications reçues par courrier n’est pas significatif."
2019-2020,916,Copyright Media Clearance Program,Programme d’autorisation pour les médias protégés par les droits d’auteur,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,enterprise,comm,non,"Each day more than 7000 articles are received from 3rd party vendors. The CMCP works with departmental stakeholders at Public Safety and private sector companies to trouble-shoot any issues pertaining to delivery of the news feeds, including technical or copyright questions.",Le Programme de suivi électronique des médias (SEM) de SPAC offre un service commun facultatif rentable pour aider les ministères et organismes à assumer leurs responsabilités de surveillance et d'analyse de l'environnement public.,https://www.tpsgc-pwgsc.gc.ca/pub-adv/index-eng.html,https://www.tpsgc-pwgsc.gc.ca/sem-emm/index-fra.html,Communications Services,Services de communication,,,intern_gov,Y,Y,NA,NA,"onl,oth",0,0,0,ND,ND,ND,0,NA,NA,NA,NA,NA,N,"eml,onl,person,tel",N/A indicates that the service is not offered through this method. Not tracked indicates that the service is offered through this method but there is currently no easy way to capture this information.,"N / A indique que le service n'est pas offert par cette méthode. Non suivi indique que le service est offert par cette méthode, mais il n’existe actuellement aucun moyen simple de capturer ces informations."
2019-2020,960,Shared Travel Services,Services de voyage partagés,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,enterprise,adv,non,"The Shared Travel Services (STS) Portal, provided by travel management company Hogg Robinson Group (HRG), is the gateway to the Government of Canada’s (GC) travel management solution for GC employees and authorized contractors.","Le portail des services de voyage partagés (SVP), fourni par la société de gestion de voyages Hogg Robinson Group (HRG), constitue la passerelle vers la solution de gestion de voyages du gouvernement du Canada (GC) destinée aux employés du GC et aux entrepreneurs autorisés.",https://isuite6.hrgworldwide.com/gcportal/en-ca/home.aspx,https://isuite6.hrgworldwide.com/gcportal/fr-CA/home.aspx,Government-wide Corporate Services,Services organisationnels pangouvernementaux,,oth,intern_gov,N,N,NA,N,onl,ND,ND,0,ND,ND,ND,ND,Y,Y,Y,Y,Y,Y,"eml,onl,person,tel","Shared Travel Services (STS)  manages the contract with vendor Hoggs Robinson Group (HRG)- If clients are not satisfied with the vendor, their first point of contact, an escalation process for clients is available through email or STS Client Account Management team","Les services de voyage partagés (SVP) gèrent le contrat avec le fournisseur Hoggs Robinson Group (HRG). Si les clients ne sont pas satisfaits du fournisseur, leur premier point de contact, un processus d'escalade pour les clients est disponible par courrier électronique ou par l'équipe de gestion de compte client SVP."
2019-2020,843,Electronic Document and Records Management - GCdocs,Gestion électronique des documents et des dossiers - GCdocs,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,enterprise,im,"essent,prior","GCdocs is the official enterprise document and records management (EDRM) solution of the Government of Canada. It is an automated bilingual archiving and Information Management (IM) tool that helps organizations meet their IM life cycle management obligations. The GCDocs Service assists organizations in their standardization, consolidation, and re-engineering of Electronic Discovery Reference Model (a framework that outlines standards for the recovery and discovery of digital data)  practices.  It helps fills IM gaps that hinder broad deployment; and provides IM tools, templates, and best practices while assisting organizations in their deployment.","GCdocs est la solution officielle de gestion des documents et des dossiers d’entreprise (GDDE) du gouvernement du Canada. Il s’agit d’un système automatisé bilingue d’archivage et de gestion de l’information (GI) qui aide les organismes à s’acquitter de leurs obligations de gestion du cycle de vie de l’information. Le Service GCdocs aide les organismes à normaliser, à consolider et à restructurer leurs pratiques conformément au Modèle de référence de la preuve électronique (un cadre qui décrit les normes pour la récupération et la divulgation de données numériques). Il contribue à corriger les lacunes en matière de GI qui nuisent à un déploiement à grande échelle, et fournit des outils, des modèles et des pratiques exemplaires en matière de GI tout en aidant les organismes dans le cadre de leur déploiement.",https://masource-mysource.spac-pspc.gc.ca/eng/services/dpi-cio/gcdocs/Pages/default.aspx,https://masource-mysource.spac-pspc.gc.ca/fra/services/dpi-cio/gcdocs/Pages/default.aspx,Information Management Services,Services de gestion de l'information,,oth,intern_gov,Y,Y,NA,NA,onl,0,0,0,ND,ND,ND,ND,N,N,N,N,N,N,"eml,onl,person,tel","GCdocs is not offered like traditional GC to citizen services so these channels do not apply. The GCdocs Program holds regular community engagement sessions where clients have direct access to program experts, and can provide feedback on level of satisfaction with the service. In addition, GCdocs provides a mechanism for both existing and potential clients to contact them by email via their GCpedia page (https://www.gcpedia.gc.ca/wiki/GCdocsProgram/Contact).  There is no application process for GCdocs.  If OGDs are interested in using the service, they will go through an engagement and onboarding process that is initiated .","GCdocs n'est pas offert comme GC traditionnel aux services aux citoyens, donc ces modes ne s'appliquent pas. Le programme GCdocs organise régulièrement des séances d'engagement communautaire où les clients ont un accès direct aux experts du programme et peuvent fournir des commentaires sur le niveau de satisfaction à l'égard du service. De plus, GCdocs fournit un mécanisme permettant aux clients existants et potentiels de les contacter par courriel via leur page GCpedia (https://www.gcpedia.gc.ca/wiki/GCdocsProgram/Contact). Il n'y a pas de processus de demande pour GCdocs. Si les autres ministères souhaitent utiliser le service, ils passeront par un processus d'engagement et d'intégration qui est lancé."
2019-2020,900,Pension,Pension,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"extern,enterprise",res,prior,"The Government of Canada pension program provides pension services and benefit payments to members of eight different federal public sector pension plans: Public Service, Royal Canadian Mounted Police, Canadian Armed Forces (Regular and Reservists), Members of Parliament, the Diplomatic Corps, Federally Appointed Court Judges, and Lieutenant Governors.
Cape Breton Operations Office - Pension Services
Pension Centre (Shediac) - pension payments","Le programme de pension du gouvernement du Canada fournit des services de pension et des prestations aux membres de huit régimes de pension différents du secteur public fédéral : la fonction publique, la Gendarmerie royale du Canada, les Forces armées canadiennes (régulières et réservistes), les députés, le corps diplomatique, les juges de la Cour de nomination fédérale et les lieutenant-gouverneurs. 
Bureau des opérations Cap Breton - Services de pension. 
Centre des pensions (Shediac)","https://www.canada.ca/en/treasury-board-secretariat/topics/pension-plan.html,https://www.tpsgc-pwgsc.gc.ca/remuneration-compensation/services-pension-services/pension/rns-ssr-eng.html","https://www.canada.ca/fr/secretariat-conseil-tresor/sujets/regime-retraite.html,https://www.tpsgc-pwgsc.gc.ca/remuneration-compensation/services-pension-services/pension/rns-ssr-fra.html","Federal Pay Administration,Federal pension Administration","Administration de la paye fédérale,Administration de la pension fédérale",,in_auth,"intern_gov,person",N,N,NA,Y,"oth,post,tel",502834,0,ND,0,ND,372444,149869,N,N,N,N,N,N,"eml,tel",The website belongs to the Plan Sponsor.,Le site Web appartient au promoteur du régime.
2019-2020,901,Receiver General Services – Management of Government of Canada Deposits,Services du receveur général ‒ Gestion des dépôts du gouvernement du Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,enterprise,res,non,"Managing of deposits for all departments and agencies. This includes: managing the receipt of all payments made to the Receiver General on behalf of the Government of Canada. Managing departmental RG Working Capital Advance Account under Treasury Board Secretariat's (TBS) authorization. Establishing Banking arrangements, reconciling bank accounts and reporting deposit details to departments. Also includes supporting processes and departmental enquiries (~3000 enquiries a year). Banking and Cash Management Sector - Process RG Cash inflows","Gestion de dépôts pour tous les ministères et organismes, notamment : gestion de la réception de tous les paiements versés au receveur général pour le compte du gouvernement du Canada; établissement de dispositions bancaires; rapprochement de comptes bancaires et communication des détails relatifs au dépôt aux ministères. Comprend aussi le soutien de processus et les demandes de renseignement des ministères (~3 000 demandes de renseignements par an).  Secteur bancaire et de la gestion de trésorerie -  Traiter les entrées de trésorerie du Receveur général",http://gcintranet.tpsgc-pwgsc.gc.ca/fp-gf/mde-rdm/index-eng.html,http://gcintranet.tpsgc-pwgsc.gc.ca/fp-gf/mde-rdm/index-fra.html,Payments and Revenue Collection,Paiements et perception des recettes,,,intern_gov,N,N,NA,Y,"onl,oth,person,post",0,ND,0,ND,0,0,3139,NA,NA,N,N,Y,N,"eml,onl,person,tel",This service consists of stewardship of consolidated revenue fund and Accounts of Canada and ensure departmental access to treasury methods to collect public money on behalf of the RG for Canada.,Ce service consiste à gérer le fonds consolidé du revenu et les comptes du Canada et à garantir aux ministères l’accès aux méthodes de trésorerie permettant de recueillir des fonds publics au nom du RG pour le Canada.
